student_id,CGPA,backlogs,skills_score,interview_score,resume_score,communication_score,consistency_score,time_management_score,hackathons_participated,projects_count,certifications_count,github_activity,internships_completed,selected
ST_00035,9.85,0,100,6,2,1,7,5,3,0,1,51,1,1
ST_00036,9.14,0,91,8,5,4,9,6,0,3,0,78,0,1
ST_00037,6.87,1,73,6,5,6,6,8,3,2,1,11,2,0
ST_00038,5.94,2,97,4,7,7,2,4,0,1,2,95,0,0
ST_00039,8.58,0,66,8,4,8,7,9,0,3,1,24,1,1
ST_00040,7.48,0,93,10,6,5,3,3,0,0,1,79,0,0
ST_00041,6.05,0,51,5,6,2,6,5,0,1,1,35,2,0
ST_00042,7.73,0,77,10,9,2,9,3,0,2,0,100,0,1
ST_00043,5.65,0,93,6,3,3,10,6,0,2,0,20,0,0
ST_00044,9.59,0,75,1,9,4,8,3,0,1,0,9,1,1
ST_00045,6.66,0,95,4,9,6,6,7,0,0,1,75,1,1
ST_00046,8.48,2,40,4,2,5,10,3,1,3,1,77,1,0
ST_00047,6.9,0,65,5,2,5,5,5,0,1,1,62,0,0
ST_00048,7.84,0,79,1,7,9,4,7,1,0,0,50,0,0
ST_00049,7.96,1,79,4,8,9,8,8,0,2,0,26,1,0
ST_00050,6.33,0,60,7,3,3,6,9,2,3,0,17,3,1
ST_00051,9.86,0,71,6,7,9,8,6,0,0,0,52,2,1
ST_00052,8.99,0,64,10,7,1,9,6,3,2,1,54,0,1
ST_00053,9.73,2,51,5,7,4,4,1,0,2,0,97,2,0
ST_00054,9.53,0,64,1,2,8,10,6,3,1,1,74,0,1
ST_00055,8.19,0,65,8,8,9,2,5,0,2,3,78,1,1
ST_00056,9.65,0,75,5,10,5,7,9,1,4,0,4,0,1
ST_00057,5.9,1,55,8,8,2,8,4,1,1,2,36,0,0
ST_00058,6.38,0,53,6,5,8,4,4,0,0,1,51,1,0
ST_00059,5.7,0,85,7,7,8,2,2,0,3,2,97,1,1
ST_00060,6.96,0,73,10,7,9,9,7,1,2,0,59,0,1
ST_00061,7.25,0,88,10,10,6,3,6,0,1,2,24,0,1
ST_00062,6.72,1,63,1,4,9,3,7,0,2,3,32,0,0
ST_00063,9.23,0,47,6,5,10,9,9,1,2,2,96,1,1
ST_00064,7.11,0,66,3,6,10,8,2,0,2,2,14,0,0
ST_00065,6.76,1,78,3,6,8,4,10,1,3,0,0,0,0
ST_00066,7.94,2,52,3,10,5,10,8,0,1,0,37,1,0
ST_00067,6.13,0,68,6,9,4,4,8,0,1,2,44,1,1
ST_00068,9.11,0,70,8,3,7,1,9,0,2,0,6,1,1
ST_00069,5.84,0,82,3,5,6,1,6,1,1,0,11,1,0
ST_00070,9.94,2,58,3,1,4,9,2,3,2,0,67,2,0
ST_00071,8.98,1,90,5,1,2,1,5,0,1,1,25,2,0
ST_00072,6.39,0,49,6,10,10,2,2,0,0,1,9,2,0
ST_00073,5.52,2,95,6,5,9,7,4,0,1,3,71,1,0
ST_00074,9.17,1,99,7,1,4,2,5,1,2,2,49,0,1
ST_00075,8.68,2,82,7,7,3,4,8,0,2,1,24,3,1
ST_00076,8.78,0,87,3,10,10,10,10,0,1,1,95,0,0
ST_00077,8.97,1,79,5,8,6,2,9,0,0,1,63,0,0
ST_00078,5.83,1,73,1,10,2,3,5,0,1,0,53,0,0
ST_00079,7.11,0,85,1,2,8,6,6,0,2,2,42,0,0
ST_00080,6.02,2,88,2,3,9,7,1,0,1,1,26,3,0
ST_00081,9.38,0,88,2,10,4,2,1,1,2,1,15,1,1
ST_00082,8.3,0,82,7,8,10,9,1,2,2,0,91,1,1
ST_00083,6.99,1,40,5,1,7,2,2,1,1,1,60,1,0
ST_00084,5.79,0,58,3,9,1,4,8,0,2,0,85,0,0
ST_00085,6.9,1,40,7,5,2,5,5,0,0,0,66,0,0
ST_00086,6.96,0,95,3,10,4,8,10,0,2,2,37,1,0
ST_00087,8.78,0,63,3,1,5,4,3,1,1,0,63,1,0
ST_00088,8.37,0,64,4,10,10,1,5,0,0,1,42,0,1
ST_00089,9.49,0,43,5,8,8,7,8,2,2,2,100,1,1
ST_00090,7.62,0,63,8,9,2,9,7,0,1,2,81,0,1
ST_00091,6.04,0,78,9,9,2,5,10,1,2,2,13,0,1
ST_00092,8.71,0,59,5,9,10,2,2,1,2,2,63,0,1
ST_00093,8.92,0,72,8,6,5,9,10,0,2,0,94,0,1
ST_00094,8.03,1,67,3,7,2,3,9,1,1,3,62,2,0
ST_00095,8.97,0,82,7,7,3,2,10,2,2,0,91,2,1
ST_00096,7.72,0,84,3,4,10,4,4,2,2,0,68,0,1
ST_00097,7.85,0,74,10,3,9,4,6,1,1,0,48,1,1
ST_00098,7.42,0,63,3,9,9,10,2,0,2,3,71,1,1
ST_00099,5.61,1,79,4,3,6,5,5,2,3,1,51,0,0
ST_00100,5.99,0,83,2,3,9,1,6,1,0,0,81,0,0
ST_00101,5.64,0,41,7,4,8,10,2,0,3,0,22,3,0
ST_00102,8.36,0,62,6,10,3,1,1,0,0,0,31,1,0
ST_00103,6.91,0,72,3,10,8,10,10,0,1,1,47,3,1
ST_00104,7.79,0,91,1,10,7,7,3,0,1,0,99,0,1
ST_00105,9.58,1,53,10,3,9,5,2,1,2,1,11,1,0
ST_00106,6.62,0,54,3,2,7,10,6,0,0,2,57,0,0
ST_00107,7.35,0,71,4,5,5,6,3,0,3,1,23,0,0
ST_00108,8.9,0,62,10,1,5,7,2,0,3,2,2,1,1
ST_00109,6.53,2,43,1,1,4,1,7,0,2,0,85,0,0
ST_00110,5.85,2,59,8,6,2,5,1,0,1,0,1,0,0
ST_00111,6.8,0,70,2,4,5,8,9,0,3,1,87,0,1
ST_00112,6.23,0,98,3,8,10,3,1,0,3,2,7,0,0
ST_00113,9.68,0,46,5,1,4,2,5,1,1,1,100,1,1
ST_00114,9.14,0,40,9,10,1,2,7,0,2,2,0,0,0
ST_00115,8.35,0,44,6,5,2,4,10,0,2,1,100,0,1
ST_00116,9.42,1,53,3,6,2,7,5,0,2,0,45,0,1
ST_00117,9.12,2,69,3,5,9,2,3,0,1,1,3,0,0
ST_00118,6.34,2,77,8,10,2,6,2,0,1,0,71,1,0
ST_00119,9.52,0,62,4,6,10,7,2,0,0,1,88,0,1
ST_00120,7.93,2,46,5,3,7,9,9,0,1,0,31,1,0
ST_00121,9.13,0,83,4,9,3,7,6,0,2,0,15,0,1
ST_00122,9.53,0,78,9,7,2,1,4,0,4,2,30,0,1
ST_00123,6.93,0,89,8,10,8,8,10,1,4,0,4,2,1
ST_00124,6.0,0,93,7,1,2,3,10,0,2,0,42,1,0
ST_00125,6.53,2,55,4,5,9,7,7,2,2,3,12,0,0
ST_00126,7.42,0,48,9,10,3,6,2,1,0,1,7,2,0
ST_00127,9.18,0,78,8,1,9,3,4,1,2,1,10,0,0
ST_00128,9.37,0,94,8,3,3,2,1,0,0,2,66,2,1
ST_00129,5.53,2,100,10,6,9,4,4,1,1,1,32,1,0
ST_00130,7.8,3,85,2,2,6,1,7,0,2,0,3,1,0
ST_00131,7.38,0,73,5,5,2,10,10,0,1,1,21,3,0
ST_00132,6.5,0,70,6,7,1,10,9,0,0,2,57,0,0
ST_00133,6.04,2,100,6,9,3,7,5,2,3,2,59,1,0
ST_00134,7.02,0,84,9,1,7,3,6,0,1,0,97,0,0
ST_00135,9.74,3,46,4,7,10,2,7,2,0,0,98,0,0
ST_00136,6.95,1,96,7,8,3,5,9,0,0,0,80,0,0
ST_00137,7.83,0,90,9,3,3,7,10,2,1,1,95,0,1
ST_00138,8.66,1,41,5,2,7,1,10,2,0,0,25,1,0
ST_00139,7.14,0,45,6,8,7,1,8,2,2,2,14,1,0
ST_00140,9.87,1,83,1,7,4,10,9,0,1,3,31,1,1
ST_00141,9.83,0,100,7,1,1,8,5,2,3,1,52,0,1
ST_00142,6.63,2,73,5,2,10,5,9,3,0,3,60,0,0
ST_00143,7.74,2,56,4,4,8,8,8,0,1,0,3,2,0
ST_00144,6.85,0,65,3,3,8,3,2,0,2,2,93,0,0
ST_00145,6.78,0,51,1,2,6,2,1,1,2,1,82,1,0
ST_00146,5.67,0,59,5,5,1,7,4,0,2,0,16,1,0
ST_00147,8.24,1,80,3,6,10,6,2,1,3,0,80,1,1
ST_00148,7.76,1,97,8,6,3,4,3,0,1,1,11,1,0
ST_00149,5.73,2,85,4,7,6,7,7,0,1,2,78,2,0
ST_00150,6.75,0,74,3,6,10,9,10,0,3,2,92,0,1
ST_00151,9.59,0,74,1,6,6,9,5,0,0,1,10,2,1
ST_00152,6.58,0,93,10,8,1,3,3,0,0,1,90,0,0
ST_00153,6.15,0,68,2,5,7,1,2,1,1,0,13,0,0
ST_00154,7.7,0,87,10,5,2,4,9,0,2,1,14,0,1
ST_00155,9.94,2,77,2,7,8,10,7,1,1,1,12,1,1
ST_00156,6.59,0,70,1,10,6,1,9,1,0,0,33,0,0
ST_00157,8.52,1,79,8,7,1,7,4,0,1,3,4,0,0
ST_00158,8.93,0,52,5,3,2,2,3,0,2,1,69,0,0
ST_00159,6.57,0,65,2,1,6,8,10,0,1,2,46,2,0
ST_00160,8.78,0,61,8,5,2,5,3,0,1,1,92,2,1
ST_00161,7.16,0,47,10,10,4,10,3,0,2,3,42,1,0
ST_00162,8.35,2,79,5,4,9,1,1,0,3,0,96,1,0
ST_00163,8.35,0,46,10,1,3,2,10,3,2,1,23,0,1
ST_00164,7.91,0,44,5,5,5,4,8,0,2,0,43,0,0
ST_00165,5.91,1,91,2,6,3,3,7,0,1,0,48,2,0
ST_00166,9.26,3,40,8,7,8,5,4,3,1,0,92,0,0
ST_00167,6.94,0,84,3,10,10,4,2,2,1,1,32,0,0
ST_00168,6.34,0,93,4,9,5,2,7,2,3,2,1,0,1
ST_00169,5.68,0,79,5,4,10,9,8,1,1,1,33,0,0
ST_00170,8.16,0,50,10,1,6,7,1,0,3,1,93,0,0
ST_00171,8.55,0,91,9,4,6,5,8,2,4,2,81,1,1
ST_00172,5.57,2,71,2,7,4,4,2,2,0,2,62,0,0
ST_00173,7.8,0,46,8,1,10,10,6,0,0,0,85,1,0
ST_00174,6.52,0,90,5,9,4,5,8,0,0,0,66,0,0
ST_00175,8.4,0,68,9,6,10,2,8,0,1,0,79,0,0
ST_00176,6.28,1,69,9,10,1,8,9,0,0,0,9,0,0
ST_00177,8.61,0,60,10,8,6,2,2,0,3,0,14,1,1
ST_00178,7.24,0,78,3,6,4,8,2,1,0,1,75,0,1
ST_00179,9.72,0,87,9,7,6,5,10,0,1,0,75,1,1
ST_00180,6.12,0,83,7,3,8,4,5,0,0,0,38,1,0
ST_00181,7.03,0,82,9,8,9,7,3,0,3,0,50,1,1
ST_00182,6.01,0,96,7,5,9,1,8,1,2,1,14,0,0
ST_00183,9.66,0,80,8,7,1,7,8,0,3,2,90,0,1
ST_00184,9.45,0,78,4,7,5,10,8,0,4,3,19,0,1
ST_00185,6.66,0,59,5,6,7,5,8,1,1,1,70,1,0
ST_00186,8.47,2,61,6,3,1,6,8,0,1,1,89,0,0
ST_00187,9.18,0,68,4,1,6,5,5,0,0,1,62,2,1
ST_00188,8.0,1,85,8,6,1,7,7,0,1,1,90,2,1
ST_00189,7.88,0,43,5,9,6,1,1,1,2,1,52,0,0
ST_00190,6.59,1,42,3,2,7,2,1,1,0,1,13,0,0
ST_00191,5.92,0,48,1,2,5,6,8,0,0,1,12,1,0
ST_00192,9.54,0,44,1,10,2,7,5,0,2,3,77,0,1
ST_00193,9.55,1,95,8,1,2,8,4,1,2,0,83,0,1
ST_00194,8.35,1,42,3,1,6,4,7,2,2,1,43,2,0
ST_00195,7.03,3,64,10,2,6,3,8,1,1,0,95,0,0
ST_00196,7.07,1,71,4,1,1,9,10,1,3,2,38,2,0
ST_00197,8.77,0,72,7,6,10,2,7,0,2,0,65,1,1
ST_00198,9.54,0,57,1,5,9,10,9,1,0,1,79,1,1
ST_00199,9.49,0,84,6,8,7,1,9,2,2,1,81,0,1
ST_00200,9.01,0,75,1,10,8,6,10,1,4,1,59,0,1
ST_00201,8.39,1,89,3,7,10,3,9,2,0,1,32,1,0
ST_00202,5.88,0,80,4,4,2,7,9,0,1,1,63,0,0
ST_00203,6.23,2,68,7,9,6,8,9,2,1,2,96,0,0
ST_00204,9.54,0,78,2,4,9,2,1,1,0,1,46,0,1
ST_00205,8.23,0,86,8,9,1,7,5,2,3,2,92,0,1
ST_00206,5.54,0,84,6,4,5,10,10,0,1,1,88,0,0
ST_00207,5.96,0,41,10,2,8,5,1,1,2,0,31,1,0
ST_00208,8.49,1,50,2,2,4,5,6,1,2,1,9,0,0
ST_00209,5.52,3,98,3,6,1,5,7,0,2,0,63,0,0
ST_00210,6.22,0,70,4,6,7,5,5,1,0,0,76,1,0
ST_00211,7.97,1,43,6,7,1,10,2,1,1,1,2,3,0
ST_00212,8.61,0,68,1,7,7,5,9,0,0,2,59,0,0
ST_00213,8.43,2,93,5,3,10,7,8,0,1,0,86,0,1
ST_00214,6.51,0,89,8,10,7,8,1,0,1,1,25,1,0
ST_00215,8.7,0,96,7,7,7,4,8,0,3,0,68,2,1
ST_00216,6.57,0,42,3,9,5,7,1,0,1,3,80,1,0
ST_00217,6.96,0,41,2,9,4,9,5,0,2,1,92,1,0
ST_00218,8.86,0,83,2,7,4,2,10,0,1,1,31,0,0
ST_00219,8.42,0,75,10,4,1,9,7,0,2,1,33,1,1
ST_00220,9.32,0,53,5,8,2,6,6,0,4,0,94,0,1
ST_00221,8.46,0,87,8,2,7,9,2,1,1,2,75,1,1
ST_00222,8.06,0,92,6,8,8,7,3,0,3,1,37,1,1
ST_00223,5.92,0,43,6,3,8,5,6,1,2,1,84,3,0
ST_00224,7.15,1,83,7,5,9,5,3,0,3,1,21,0,0
ST_00225,6.69,0,69,1,3,7,1,1,0,2,2,29,0,0
ST_00226,6.6,0,58,3,6,1,3,2,0,1,0,52,1,0
ST_00227,9.88,0,58,5,6,8,6,9,1,1,0,83,1,1
ST_00228,7.27,0,83,7,8,7,2,3,1,0,2,85,1,1
ST_00229,9.51,0,70,6,1,2,6,3,2,2,0,1,0,0
ST_00230,8.34,0,54,1,5,6,5,5,0,4,1,70,0,0
ST_00231,9.08,0,68,9,5,3,1,1,1,2,1,37,1,1
ST_00232,7.76,0,42,3,9,5,3,1,0,1,0,56,0,0
ST_00233,8.1,0,58,7,10,6,1,1,1,3,1,32,2,1
ST_00234,7.72,2,61,1,4,6,7,4,0,2,2,48,0,0
ST_00235,6.38,3,86,1,6,8,7,9,0,1,1,91,1,0
ST_00236,8.75,0,59,1,10,8,1,5,0,0,0,27,1,0
ST_00237,6.76,0,100,4,7,9,8,8,1,0,0,62,1,1
ST_00238,5.61,2,94,1,3,1,7,3,0,3,3,53,0,0
ST_00239,8.4,2,46,1,6,4,3,10,0,3,0,5,2,0
ST_00240,6.3,1,43,9,3,10,2,4,0,1,0,61,0,0
ST_00241,9.73,0,40,8,6,1,9,5,3,1,3,94,1,1
ST_00242,9.79,0,80,5,1,6,7,2,0,2,2,35,0,1
ST_00243,9.62,0,46,2,9,3,6,3,2,3,1,73,0,1
ST_00244,7.17,1,61,7,6,5,5,1,3,2,0,18,0,0
ST_00245,5.57,1,76,1,6,10,5,7,2,2,0,5,0,0
ST_00246,9.68,0,96,9,4,9,3,6,2,1,0,33,3,1
ST_00247,7.43,0,69,1,5,3,5,2,2,2,1,7,0,0
ST_00248,9.85,0,100,3,4,2,8,9,0,1,0,5,1,1
ST_00249,9.84,1,48,6,6,8,2,3,0,3,0,40,3,1
ST_00250,9.34,0,97,4,7,7,3,3,1,1,0,88,0,1
ST_00251,6.83,0,66,2,1,1,3,1,0,3,2,14,1,0
ST_00252,7.23,0,77,5,3,9,6,10,0,1,2,21,0,0
ST_00253,9.33,0,95,10,2,10,1,7,1,3,1,3,0,1
ST_00254,6.93,0,62,1,5,10,5,1,0,1,0,72,0,0
ST_00255,6.26,1,51,1,8,4,9,8,2,1,2,85,2,0
ST_00256,8.01,0,52,6,5,6,1,2,1,2,1,55,0,0
ST_00257,9.71,0,72,9,9,7,6,3,0,0,1,17,1,1
ST_00258,8.63,0,54,10,1,8,7,9,0,3,3,23,1,1
ST_00259,8.07,0,55,7,6,4,1,10,0,2,0,98,2,0
ST_00260,5.94,0,73,10,3,9,6,8,3,2,1,66,0,1
ST_00261,8.27,0,48,4,2,10,4,6,0,3,2,17,1,0
ST_00262,9.96,1,81,8,4,1,4,7,0,3,0,88,1,1
ST_00263,6.13,1,91,1,3,8,6,1,1,2,0,83,1,0
ST_00264,7.83,0,66,5,9,9,10,1,0,3,3,38,2,1
ST_00265,9.45,0,87,2,9,4,10,2,0,0,0,88,2,1
ST_00266,8.83,0,54,3,8,5,8,10,0,0,1,60,0,0
ST_00267,8.64,1,74,10,7,2,3,6,0,2,1,76,0,0
ST_00268,8.66,1,73,4,10,5,7,7,0,1,0,77,0,0
ST_00269,7.12,0,79,1,3,3,10,2,2,1,1,93,0,0
ST_00270,6.82,0,69,5,3,9,4,3,0,1,0,43,0,0
ST_00271,9.14,0,87,10,7,5,3,2,0,1,0,27,0,1
ST_00272,9.15,0,62,6,4,5,3,2,0,3,2,29,0,1
ST_00273,9.4,0,48,1,8,7,6,1,0,2,2,50,3,1
ST_00274,9.61,0,71,4,1,9,10,1,2,4,0,32,0,1
ST_00275,7.8,0,74,2,1,5,8,8,0,2,0,81,2,0
ST_00276,7.76,0,88,1,7,10,1,10,3,1,1,63,0,0
ST_00277,9.09,1,71,5,9,9,4,2,0,1,0,51,1,0
ST_00278,8.42,0,84,1,2,7,1,10,1,1,1,27,2,1
ST_00279,8.66,2,55,8,5,6,8,8,0,3,0,100,0,0
ST_00280,9.08,0,71,2,2,10,5,9,0,0,2,72,0,1
ST_00281,9.51,0,64,5,9,6,3,8,0,1,0,13,0,1
ST_00282,7.02,0,69,3,9,4,8,4,1,3,2,68,0,1
ST_00283,7.19,0,76,6,1,10,9,9,0,2,1,98,2,1
ST_00284,5.92,0,76,6,7,9,5,10,0,1,2,53,2,0
ST_00285,8.1,0,74,8,1,9,1,10,1,1,2,48,0,1
ST_00286,5.66,0,84,5,7,3,6,1,0,3,0,6,0,0
ST_00287,7.6,1,47,5,8,4,5,3,0,3,1,43,0,0
ST_00288,7.94,0,79,5,1,1,6,3,1,1,1,59,0,0
ST_00289,6.79,0,88,9,3,9,4,6,0,1,1,0,1,0
ST_00290,8.16,2,86,2,10,6,7,6,1,3,1,50,0,0
ST_00291,5.64,1,75,3,5,3,5,7,0,2,0,98,1,0
ST_00292,5.67,0,93,4,10,2,7,10,0,3,0,37,0,0
ST_00293,9.2,0,64,7,7,8,10,10,0,2,1,65,0,1
ST_00294,7.12,0,57,10,5,6,2,7,2,3,0,67,1,1
ST_00295,6.07,0,78,1,3,3,3,9,2,1,3,73,0,0
ST_00296,7.85,0,49,3,8,3,1,10,3,0,1,98,3,0
ST_00297,8.96,0,40,10,6,8,3,6,0,2,1,58,2,1
ST_00298,6.47,1,97,7,1,1,8,2,1,2,0,97,0,0
ST_00299,8.3,0,43,8,7,3,5,5,0,3,1,61,0,1
ST_00300,5.88,0,65,2,9,5,9,1,0,0,0,38,2,0
ST_00301,5.73,0,50,3,1,5,1,3,1,3,1,62,2,0
ST_00302,7.89,0,54,7,7,8,5,4,0,1,0,31,2,1
ST_00303,7.93,0,71,7,2,6,2,5,0,2,1,20,0,0
ST_00304,8.37,0,54,3,1,3,8,8,0,0,1,84,3,0
ST_00305,8.77,0,67,10,1,4,2,4,1,2,1,22,0,0
ST_00306,9.89,2,62,5,3,4,9,8,0,2,0,99,1,1
ST_00307,7.82,0,42,7,1,6,6,8,0,1,0,14,2,0
ST_00308,6.95,0,90,3,10,9,10,10,3,1,0,0,0,1
ST_00309,9.08,2,71,8,2,8,9,7,0,2,1,28,2,0
ST_00310,6.72,3,59,4,7,7,2,9,0,3,0,93,0,0
ST_00311,7.48,0,95,7,8,9,9,9,1,1,0,18,3,1
ST_00312,5.85,2,53,2,3,9,4,7,1,1,0,32,0,0
ST_00313,5.61,0,74,5,7,6,3,6,0,1,1,87,3,1
ST_00314,9.83,0,79,6,7,9,4,3,1,3,1,69,0,1
ST_00315,9.26,0,81,1,10,8,8,1,0,1,3,9,1,1
ST_00316,8.63,0,48,9,4,10,7,2,0,0,1,45,1,0
ST_00317,7.34,0,99,9,1,3,6,5,0,2,0,46,0,0
ST_00318,6.28,0,95,4,4,6,1,9,0,2,1,54,0,0
ST_00319,6.2,1,86,5,1,4,2,9,0,0,1,17,1,0
ST_00320,6.63,0,63,9,10,3,10,7,2,4,1,70,0,1
ST_00321,7.97,0,80,10,4,10,2,6,1,2,3,9,1,1
ST_00322,8.72,0,43,2,5,5,8,10,2,2,1,91,0,0
ST_00323,8.47,3,51,5,9,8,5,10,1,1,1,58,3,0
ST_00324,6.76,1,90,4,7,7,5,7,0,3,2,33,0,0
ST_00325,9.8,0,63,2,9,10,6,6,0,1,2,41,0,1
ST_00326,8.82,1,40,2,9,7,3,5,2,1,1,97,0,0
ST_00327,7.99,1,53,9,8,10,2,6,1,0,0,90,0,0
ST_00328,8.25,2,70,10,2,2,3,1,3,2,3,41,0,0
ST_00329,7.39,0,49,8,5,7,5,5,0,2,0,66,0,0
ST_00330,6.61,0,72,10,4,1,10,1,0,2,0,6,2,0
ST_00331,7.1,0,75,10,1,6,9,5,0,1,3,14,1,1
ST_00332,8.91,2,81,8,6,10,5,2,0,2,2,34,1,0
ST_00333,5.56,3,74,8,5,7,6,10,0,2,0,52,0,0
ST_00334,6.02,1,97,5,10,10,10,5,0,1,0,0,1,0
ST_00335,5.71,0,87,4,10,2,3,10,1,3,1,13,0,0
ST_00336,5.68,0,57,10,7,8,5,4,0,1,0,89,1,0
ST_00337,9.35,0,64,3,1,8,4,4,0,2,0,21,0,0
ST_00338,8.67,0,51,2,5,6,7,6,1,0,3,83,0,0
ST_00339,7.63,0,99,10,3,7,8,10,0,2,1,61,0,1
ST_00340,5.94,0,67,5,4,5,1,8,0,4,2,99,2,0
ST_00341,7.71,3,92,8,4,5,3,6,0,4,1,35,0,0
ST_00342,7.63,0,90,5,6,8,9,1,2,1,2,98,1,1
ST_00343,6.28,2,48,7,4,2,1,9,0,1,2,15,0,0
ST_00344,7.45,0,63,5,7,4,8,4,2,0,1,62,1,0
ST_00345,7.29,0,59,10,3,7,2,7,0,3,2,5,2,1
ST_00346,8.27,0,65,9,8,8,10,1,0,2,2,21,0,1
ST_00347,8.36,3,44,8,2,4,10,9,0,1,3,6,0,0
ST_00348,5.7,1,66,8,2,10,5,3,0,0,1,94,2,0
ST_00349,7.19,0,67,1,1,6,3,3,0,3,2,16,1,0
ST_00350,8.32,0,76,5,6,10,7,10,1,2,0,79,0,1
ST_00351,7.76,0,79,9,6,3,2,8,0,1,0,49,1,1
ST_00352,9.35,0,46,8,6,7,8,2,1,1,0,58,1,1
ST_00353,8.46,0,58,1,1,2,1,9,1,1,0,41,0,0
ST_00354,6.23,0,93,9,4,1,6,3,1,2,0,39,2,0
ST_00355,5.82,0,61,10,1,10,3,2,0,3,0,13,0,0
ST_00356,8.39,0,57,1,2,5,1,5,3,3,3,72,0,1
ST_00357,5.62,2,54,5,8,10,10,9,0,1,0,79,1,0
ST_00358,8.14,0,100,10,8,4,1,9,0,3,1,52,0,1
ST_00359,9.73,1,72,1,1,5,3,8,1,1,2,7,0,0
ST_00360,8.09,0,78,8,1,9,6,8,0,1,0,90,1,1
ST_00361,7.25,0,90,2,3,1,7,7,1,4,0,77,2,0
ST_00362,8.39,0,44,6,7,8,4,3,0,1,0,58,2,0
ST_00363,7.56,0,79,2,6,3,3,3,0,1,0,65,3,0
ST_00364,7.96,3,76,2,3,7,3,5,0,4,3,87,2,0
ST_00365,9.74,2,98,1,8,3,4,9,0,0,2,71,0,0
ST_00366,7.24,1,44,6,8,5,3,1,0,2,2,70,0,1
ST_00367,9.83,0,76,5,6,7,4,3,0,3,2,62,2,1
ST_00368,9.57,1,82,4,1,6,6,9,1,2,0,78,0,1
ST_00369,6.38,0,46,4,8,2,9,7,1,0,2,86,1,0
ST_00370,5.81,0,41,9,5,3,10,2,1,1,1,92,1,0
ST_00371,5.95,0,69,2,9,9,10,2,1,0,2,90,0,0
ST_00372,5.58,0,88,10,9,6,7,1,0,1,0,58,2,0
ST_00373,5.92,0,50,7,2,2,7,10,2,2,1,10,1,0
ST_00374,8.57,0,91,5,6,5,7,3,0,1,0,72,0,1
ST_00375,5.82,0,76,10,4,10,5,4,0,1,0,33,3,0
ST_00376,6.94,0,78,9,7,9,7,1,1,2,1,32,0,0
ST_00377,9.3,0,72,4,6,4,8,1,0,2,0,28,0,0
ST_00378,5.6,0,48,6,7,2,7,3,1,3,1,77,1,0
ST_00379,9.17,0,50,2,5,2,3,5,0,1,1,94,2,0
ST_00380,6.77,0,99,1,9,10,10,8,0,3,0,51,1,0
ST_00381,6.03,1,51,1,1,4,9,5,0,2,0,60,1,0
ST_00382,8.64,0,49,4,7,7,10,7,0,1,3,38,1,1
ST_00383,8.33,0,91,9,9,5,6,9,2,1,2,62,0,1
ST_00384,9.45,1,93,3,8,7,8,1,3,1,1,90,2,1
